red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
7069,22023,31,73729,26748,0,Sleeping Bag,4.99,3.64,1624
2222,2918,44,124268,148,0,Longsleeve T-Shirt,6.63,7.37,1270
3206,14732,32,105123,6507,0,Furnace,1.49,1.7,890
4636,8686,51,112653,3574,0,Hoodie,0.99,1.33,519
14594,7502,45,104713,2746,0,Pants,0.99,1.17,519
931,40081,28,85478,3082,0,Sleeping Bag,3.01,2.33,1270
2612,26503,47,81229,19209,0,Large Wood Box,10.32,2.27,1272
3417,6060,43,109980,10100,0,Longsleeve T-Shirt,2.49,1.8,1701
1911,25570,1299,98861,1959,0,Locker,1.49,2.4,160
9002,19747,49,84960,15842,0,Large Wood Box,4.99,2.79,1631
1356,36688,360,75138,16058,0,Wooden Door,5.1,14.21,1273
2279,28747,23705,61371,13498,0,Garage Door,1.49,5.23,160
2,6790,85,122130,593,0,Crossbow,1.99,8.81,1185
5,18839,64,106213,4479,0,Semi-Automatic Pistol,1.99,3.34,1155
9110,16043,33,97471,6943,0,Metal Facemask,0.99,1.21,1044
5,10157,48,116857,2533,0,Assault Rifle,1.49,1.4,1180
4,42867,28,81839,4862,0,Armored Door,5.7,3.16,1189
7,41754,38,80220,7581,0,Satchel Charge,1.66,3.48,1198
0,1693,631,124823,2453,0,Hunting Bow,1.99,3.67,98
49,6470,4605,111740,6736,0,Crossbow,1.99,2.14,139
36,19974,47,92805,16738,0,Coffee Can Helmet,0.99,2.83,1002
77,30378,57,88766,10322,0,Road Sign Kilt,1.47,5.96,1002
234,24771,39,90618,13938,0,Road Sign Jacket,2.2,2.7,1002
4774,25945,18,86439,12424,0,Garage Door,1.49,1.91,603
4852,18196,32,97293,9227,0,Vending Machine,1.99,2.37,77
2190,18978,169,103120,5143,0,Fridge,1.49,2.22,357
3541,15690,324,91356,18689,0,Armored Door,1.49,4.93,939
2995,30884,245,79711,15765,0,Vending Machine,2.49,1.74,336
1,28591,114,100839,55,0,Locker,2.99,3.07,211
25,11773,50,116373,1379,0,Garage Door,1.49,1.58,309
8,8094,62,118506,2930,0,Semi-Automatic Rifle,1.99,1.96,294
2,6411,1921,118117,3149,0,Assault Rifle,2.99,2.19,190
0,3774,23,124861,942,0,Locker,2.22,12.39,974
420,48601,2900,66137,11542,0,Garage Door,2.69,4.73,932
30,21673,25042,68824,14031,0,Sleeping Bag,1.49,4.01,967
